,,song,year,artist,genre,lyrics,video_path
Electronic,215787,i-surrender,2014,cazzette,Electronic,You have the key to unlock the door I'm a casualty of this emotional war Can't break the chains but I'm the one to blame Give it all to keep you right here right here with me And I can't escape You got a lock on my love I'm a prisoner For you I surrender I surrender I surrender my love I surrender I surrender my heart I surrender I surrender my love I surrender I surrender my heart I can't ignore what fate has for us Can run but can't hide no getting away from love My hands are tied and I'm bound to this feeling Keeps calling me and I must give in And I can't escape You got a lock on my love I'm a prisoner For you I surrender I surrender I surrender my love I surrender I surrender my heart I surrender I surrender my love I surrender I surrender my heart I surrender my heart,https://www.youtube.com/watch?v=R4OzD-0UXs8
Electronic,97373,playground-love,2000,air,Electronic,I'm a high school lover And you're my favorite flavor Love is all all my soul You're my playground love Yet my hands are shaking I feel my body remains Themes no matter I'm on fire On the playground love You're the piece of gold The flushes all my soul Extra time on the ground You're my playground love Anytime anyway You're my playground love,https://www.youtube.com/watch?v=NAgX1jO3No0
Electronic,43972,night-by-night,2010,chromeo,Electronic,I know inside of me Sooner or later we gon to be free C'mon girl don't make a fuss Let's have a conversation that's not just about us When you don't know which way to go And it doesn't really matter what we do There's gotta be one good way to know If all this is worth it we can work it night by night She says I'm not romantic I say she's too dramatic I tell her while we're at it we can work it night by night She says I'm not romantic I say she's too dramatic I tell her while we're at it we can work it night by night Night by night Night by night Night by night I know inside of me If I wait a bit longer well she was meant to be Come on girl we can't be apart A special kind of lovin reaches right to my heart When you don't know which way to go And it doesn't really matter what we do There's gotta be one good way to know If all this is worth it we can work it night by night She says I'm not romantic I say she's too dramatic I tell her while we're at it we can work it night by night She says I'm not romantic I say she's too dramatic I tell her while we're at it we can work it night by night Night by night Night by night Night by night Night by night Not romantic too dramatic We can work it night by night Not romantic too dramatic We can work it night by night Not romantic too dramatic We can work it night by night Not romantic too dramatic We can work it night by night She says I'm not romantic I say she's too dramatic I tell her while we're at it we can work it night by night She says I'm not romantic I say she's too dramatic I tell her while we're at it we can work it night by night,https://www.youtube.com/watch?v=6XCcWlgVqHA
Electronic,143393,keep-the-streets-empty-for-me,2009,fever-ray,Electronic,Memory comes when memory's old I am never the first to know Following the stream up North Where do people like us float There is room in my lap For bruises asses hand claps I will never disappear For Forever I'll be here Whispering Morning keep the streets empty for me I laying down eating snow My fur is hot my tongue is cold On a bed of spider web I think of how to change myself A lot of hope in a one man tent There's no room for innocence So Take me home before the storm Velvet mites will keep us warm Whispering Morning keep the streets empty for me Uncover our heads and reveal our souls We were hungry before we were born,https://www.youtube.com/watch?v=jWFb5z3kUSQ
Electronic,169766,feel-so-close,2012,calvin-harris,Electronic,I feel so close to you right now it's a force field I wear my heart upon my sleeve like a big deal Your love pours down on me surround me like a waterfall And there's no stopping us right now I feel so close to you right now I feel so close to you right now it's a force field I wear my heart upon my sleeve like a big deal Your love pours down on me surround me like a waterfall And there's no stopping us right now I feel so close to you right now And there's no stopping us right now And there's no stopping us right now And there's no stopping us right now I feel so close to you right now ,https://www.youtube.com/watch?v=dGghkjpNCQ8
Electronic,97390,people-in-the-city,2001,air,Electronic,P E O P L E C I T Y People in the city P E O P L E C I T Y People in the city P E O P L E C I T Y People in the city P E O P L E C I T Y People in the city Moving watching working sleeping driving walking talking smiling Moving watching working sleeping driving walking talking smiling Moving watching working sleeping driving walking talking smiling Moving watching working sleeping driving walking talking smiling P E O P L E C I T Y People in the city P E O P L E C I T Y People in the city P E O P L E C I T Y People in the city P E O P L E C I T Y People in the city On the sidewalk People in the city Near the street lamp People in the city At the bus stop People in the city Down the station People in the city ,https://www.youtube.com/watch?v=7nTp_cdGfKI
Electronic,27236,come-take-my-hand,1996,2-brothers-on-the-4th-floor,Electronic,I know a place where the sun's always shining With lovely flowers around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you I know a place where people not fighting With smiling faces around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand I know a place where the sun's always shining With lovely flowers around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you I know a place where people not fighting With smiling faces around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand Fantasize energize only you can rise rise If you really want to do it get in to it baby move it Slip slide to the place bring a happy face bass Treble rebel is what I am I boogie in the wonderland It's up to you to find what you're looking for As I rock rock rock to the rhythm I can give you more more From the soul take control find yourself never to old Come come take my hand and I will take you to this land I know a place where the sun's always shining With lovely flowers around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you I know a place where people not fighting With smiling faces around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand Take a chance to enchant on the floor as you dance Come come take my hand travel with me to a land Of happiness for everyone run run here I come Pick it up pick it up don't be late feel the groove don't be late To go inside take a ride now you now you can't deny What you feel is it real let it go and you will know What to do it's up to you follow me it's nothing new Come come take my hand and I will take you to this land I know a place where the sun's always shining With lovely flowers around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you I know a place where people not fighting With smiling faces around everywhere Come take my hand I'll show you I'll guide you I know this place it's deep down inside you Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand Come take my hand I'll lead you just follow me To wonderland it's deep down inside of you Come take my hand I'll lead you just follow me Come take my hand come take my hand,https://www.youtube.com/watch?v=Ruc-Fof6Alk
Electronic,87260,praise-you,2006,fatboy-slim,Electronic,We've come a long long way together Through the hard times and the good I have to celebrate you baby I have to praise you like I should,https://www.youtube.com/watch?v=ruAi4VBoBSM
Electronic,186802,cool,2015,alesso,Electronic,I saw stars on the pavement California dreams Looked up through the bright lights No stars did I see You said it's all yours if you take it there I said I can't do it alone I swear You said it's all yours It's all yours and you smiled It's only you Who Loves me like you do Do Tryna keep it cool Cool But I can't keep cool about it about it Acting like a fool Fool Wanna scream it from the roof Roof I'm tryna keep it cool Cool But I can't keep cool about it about it And for your love I was blind Drifting at sea You were the beacon I followed home You were the one who rescued me You said it's all yours if you take it there I said I can't do it alone I swear You said it's all yours It's all yours and you smiled It's only you Who Loves me like you do Do Tryna keep it cool Cool But I can't keep cool about it Acting like a fool Fool Wanna scream it from the roof Roof I'm tryna keep it cool Cool But I can't keep cool about it about it You said Oooh wooah I don't wanna lose your love Oh woaah It's only you Who Loves me like you do Do Tryna keep it cool Cool But I can't keep cool about it about it Acting like a fool Fool Wanna scream it from the roof Roof I'm tryna keep it cool Cool But I can't keep cool about it about it,https://www.youtube.com/watch?v=-aWtrEFfS4E
Electronic,216267,tears,2016,clean-bandit,Electronic,I tried hard to make you want me But we're not supposed to be And the truth will always haunt me Even though it set me free And my tears flow like the ocean As they floated in the breeze They were falling in slow motion And they brought me to my knees Oh you're haunting me taunting me all in my brain Turn off the light and now all that remains Fills me with doubt And I'm shouting your name out loud Why do you wanna put me through the pain I get the feeling I'll never escape I can't hide away from the shame of you Tears on the ground tears on my pillow You won't bring me down And I'll get over you These tears will get me through And I'll get over you I'll I'll I'll get over you I'll I'll oh yeah I'll I'll I'll get over you I'll I'll I'll get over you When did you lose your emotion When did you become so cruel And if you want to cut me open Says a thousands words bout you And in time I know you'll leave me Like a distant memory I know love can be so easy If I start by loving me oh You're haunting me taunting me all in my brain Turn off the light and now all that remains Fills me with doubt And I'm shouting your name out loud Why do you wanna put me through the pain I get the feeling I'll never escape I can't hide away from the shame of you Oh tears on the ground tears on my pillow You won't bring me down And I'll get over you Oh yeah woah I'll get over you Woah tears on the ground rain at my window The pain washes out And I'll get over you These tears will get me through And I'll get over you I'll get over you I'll I'll I'll get over you I'll I'll get over you I don't need you to call me tonight I'll get over you I don't need you to see me if I'm alright I'll get over you You left me so leave me I'm fine I'll be here getting on with my life Tears on the ground tears on my pillow You won't bring me down I'll get over you Rain at my window The pain washes out I'll get over you Woah tears on the ground rain at my window The pain washes out And I'll get over you Oh yeah I'll get over you I'll get over I'll get over you,https://www.youtube.com/watch?v=dc-nyGo0aC8
Electronic,210278,take-over-control,2011,afrojack,Electronic,I want you to take over control I think it's time to let you know The way I feel when you take hold One single touch from you I'm gone Still got the rush when I'm alone I think it is time I let you know Take over me I will devote You set me free my body's yours It feels the best when you're involved I want you to take over control Take over control Take take take take over control Oh oh oh I want you to take over control Plug it in and turn me on I want you to take over control Take over control Take take take take over control Oh oh oh I want you to take over control Plug it in and turn me on Oh I want you to take over control Take over control Take take take take over control Oh oh oh I want you to take over control Plug it in and turn me on Baby baby can't you see That I'm giving all of me So it's up to you now We could let time pass away I'll make an excuse to play But it's up to you now Just wanna fulfill your needs While you're taking over me So what do you want now Take a picture make a show 'Cause nobody has to know All the ways that we get down I want you to take over control Take over control Take take take take over control Whoa oh oh I want you tot take over control Plug it in and turn me on Oh oh whoa oh Oh oh whoa ooh oh Plug it in and turn me on Oh oh whoa oh Oh oh whoa ooh oh Plug it in and turn me on Oh oh whoa oh Oh oh whoa ooh oh Oh oh whoa oh Oh oh whoa ooh oh Plug it in and turn me on Plug it in and turn me on,https://www.youtube.com/watch?v=TUoOcDGMgT4
Electronic,143396,when-i-grow-up,2009,fever-ray,Electronic,When I grow up I want to be a forester Run through the moss on high heels That's what I'll do Throwing out boomerang Waiting for it to come back to me When I grow up I want to live near the sea Crab claws and bottles of rum That's what I'll have Staring at the seashell Waiting for it to embrace me I put my soul in what I do Last night I drew a funny man With dark eyes and a hanging tongue It goes way bad I never liked a sad look From someone who wants to be loved by you I'm very good with plants When my friends are away They let me keep the soil moist On the seventh day I rest For a minute or two Then back on my feet and cry for you You've got cucumbers on your eyes Too much time spent on nothing Waiting for a moment to arise The face in the ceiling And arms too long I wait for him to catch me Waiting for you to embrace me,https://www.youtube.com/watch?v=4F-CpE73o2M
Electronic,163635,at-home,2010,crystal-fighters,Electronic,No no no no no no no no no no no no no no no no no no Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Remember how I said I'd come someday baby How I said I'd come around to see you one day I said I'd try to find a way to run away I'd get away some day and I'm gonna come someday baby Gonna fire on the water hear you say I'm gonna fire on the water trying to find you again and say I never thought I'd see you again I never thought I'd get to be with my best friend never thought I had to tell you again never thought I had to tell you how I lost my mind again I left alone I left the world I was running To be by your side I was dying alone by your side I was flying I came alone I've come a long way to get here the leaves they fall to my feet at home they mean nothing to me No no no no no no no no no no no no no no no no no no yeah yeah yeah yeah Remember everywhere everything is in this place take a place if you found a place to take Take away the way you want to walk away Make a way with my mind my mind's away Wake me up when I'm on the throw to paradise Lift me off the ground and take me to the garden of paradise Remember everywhere everything is in this place Take a place if you found a place to take And if you don't have anything nice to say You can tell it while you take it to your grave wake me up when I'm on the throw to paradise Lift me off the ground and take me to the garden of paradise I left alone I left the world I was running To be by your side I was dying alone by your side I was flying I came alone I've come a long way to get here the leaves they fall to my feet at home they mean nothing to me No no no no no no no no no no no no no no no no no no Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah Yeah yeah yeah yeah ,https://www.youtube.com/watch?v=ruakMoSvVsY
Electronic,167214,thea,2014,goldfrapp,Electronic,Across a starless sky It cuts like tiny knives Rain beating down Rain beating down Blunt uneasy glares They've nothing on you or me yet Nights here alone Nights here are cursed There's wild in your eyes There's a light oh Thea there's a feeling It's cruel and it's dark in this town Are they mad were we dreaming Tender and town Won't leave you now Wanted you so bad I feel like I'm caught with no air Wanted you gone Wanted you there There's wild in your eyes There's a light oh Thea there's a feeling It's cruel and it's dark in this town Are they mad were we dreaming Tender torn sundown on Isthmus It's all for you oh hungry moon It's a long long night of waiting All for you oh hungry moon Tender torn sundown on Isthmus All for you oh hungry moon It's a long long night of waiting I want you there I want you gone,https://www.youtube.com/watch?v=WXVt13hDM1I
Electronic,199617,hot-right-now,2010,dj-fresh,Electronic,Got your hands up cause you think you've got it Going crazy we're not even started Eh oh eh oh eh eh eh oh eh oh oooh It's so funny that you think you're winning Cause somebody told you who was spinning Eh oh eh oh eh eh eh oh eh oh eh eh You know you're only in it 'Cause it's hot right now hot right now Turn it up right now Put your hands in the air if you want it right now Eh oh eh oh hot right now You know you're only in it 'Cause it's hot right now hot right now Turn it up right now Put your hands in the air if you want it right now Eh oh eh oh hot right now Throw your hands up You got the latest place It's on your radar By the time you show your face it's over Eh oh eh oh eh eh eh oh eh oh oooh You got the magic numbers on your speed dial And you could barely drop a name but me won You know you're only in it 'Cause it's hot right now hot right now Turn it up right now Put your hands in the air if you want it right now Eh oh eh oh hot right now You know you're only in it 'Cause it's hot right now hot right now Turn it up right now Put your hands in the air if you want it right now Eh oh eh oh hot right now I'm let me see the club get hotter hotter I wanna see your hands up higher higher I don't need close shouts oh oh oh oh Can I get a whoa I'm let me see the club get hotter hotter I wanna see your hands up higher higher I don't need close shouts oh oh oh oh Can I get a whoa You know you're only in it 'Cause it's hot right now hot right now Turn it up right now Put your hands in the air if you want it right now Eh oh eh oh hot right now You know you're only in it 'Cause it's hot right now hot right now Turn it up right now Put your hands in the air if you want it right now Eh oh eh oh hot right now Throw your hands up 'Cause it's hot right now ,https://www.youtube.com/watch?v=N7OPZOBJZyI
Electronic,178404,native-new-yorker,1996,black-box,Electronic,New York style style style style New York City New York City girl New York City New York City girl You grew up ridin the subways runnin with people Up in Harlem down on Broadway You're no tramp but you're no lady Talkin that street talk You're the heart and soul of New York City And love love is just a passing word passing word It's the thought you had in a taxi cab that got left on the curb left on the curb When he dropped you off at East and the Third Oh oh oh You're a native New Yorker New York City girl You should know the score by now You're a native New Yorker New York City girl The music plays everyone's dancin closer and closer Makin friends and findin lovers There you are lost in the shadows searchin for someone To set you free from New York City And oh where did all those yesterdays go yesterdays go When you still believed love could really be like a Broadway show like a Broadway show You were the star when did it close Oh oh oh You're a native New Yorker New York City girl No more hope is the door For a native New Yorker New York City girl Oh oh oh You're a native New Yorker New York City girl You should know the score by now You're a native New Yorker New York City New York City girl New York City New York City girl New York City New York City girl New York City New York City girl,https://www.youtube.com/watch?v=I-fplUX7uD4
Electronic,90353,giving-it-all,2013,bondax,Electronic,Electric I feel you I feel you oh Start line fall down For you oh And I never wanted to let you go To hold someone Somebody else no Breaking hearts everywhere you go Tell me where you go Cause paper hearts were meant to unfold I keep giving it all just to love someone I keep giving it all just to love someone I keep giving it all just to love someone I keep giving it all just to love Star sign I think I love you Giving my heart to you Ill be giving it all Stop sign I think I love you Giving my heart to you Cause paper hearts were meant to unfold No one before you No one no Sky falls around you Before I let go And I never wanted to let you go To hold someone Somebody else no Breaking hearts everywhere you go Tell me where you go Cause paper hearts were meant to unfold I keep giving it all just to love someone I keep giving it all just to love someone I keep giving it all just to love someone I keep giving it all just to love Star sign I think I love you Giving my heart to you Ill be giving it all Stop sign I think I love you Giving my heart to you Cause paper hearts were meant to unfold Star sign I think I love you Giving my heart to you Ill be giving it all Stop sign I think I love you Giving my heart to you Cause paper hearts were meant to unfold,https://www.youtube.com/watch?v=ETxq5HgeMsA
Electronic,167245,fly-me-away,2005,goldfrapp,Electronic,Drifting out of time Something on your mind And I wanna be the one that you Call when you get down No matter where you are in the World I'll be around Fly me away on an aeroplane High in the sky Wanna see you again Wanna know this time Gonna tell you what I'm feeling Gonna know this time Gonna get it back that feeling Miles and miles of sun Endless roads twist on Don't wanna live a life in A world that's all the same The crazy little things that You do are so magical This crazy life This crazy world We're living in is magical,https://www.youtube.com/watch?v=mX0QhQj8JIE
Electronic,128364,on-my-way,2017,axwell-ingrosso,Electronic,No time to pretend Dust off and try again Straight out of lions den Strong as a thousand men That's what I've been told Since I was six years old Duck down and count to ten I'm gonna hit the Lotto I'm gonna place my bet on every step I take Go tell everyone under the sun I'm on my way And if I hit rock bottom I'm gonna smile and dance with every step I take Go tell everyone under the sun I'm on my way On my way I'm on my way On my way I'm on my way On my way On on on my way On on on my way On on on my way I'm on my way On my way Go throw the key away No matter what they say All for a better day You will always be the same That's what I've been told Since I was six years old Duck down and count to ten I'm gonna hit the Lotto I'm gonna place my bet on every step I take Go tell everyone under the sun I'm on my way And if I hit rock bottom I'm gonna smile and dance with every step I take Go tell everyone under the sun I'm on my way On my way On on on my way On on on my way On on on my way On on on my way On on on my way I'm on my way On my way I'm on my way On my way On on on my way On on on my way On on on my way I'm on my way On my way On on on my way On on on my way On on on my way On on on my way,https://www.youtube.com/watch?v=opxhEVjNvdk
Electronic,192508,cinema,2011,benny-benassi,Electronic,I could watch you for a lifetime You're my favorite movie A thousand endings You mean everything to me I never know what's comin' Forever fascinated Hope you don't stop runnin' To me cause I'll always be waitin' You are my cinema I could watch you forever Action thriller I could watch you forever You are my cinema A Hollywood treasure Love you just the way you are My cinema my cinema A cinema a cinema a cinema a cinema Stars spell out your name Like in a science fiction drama Romance growing Like a flower in the summer You always keep me guessin' Forever my wonder Hope you start undressin' All my dreams and take me under You are my cinema I could watch you forever Action thriller I could watch you forever You are my cinema A Hollywood treasure Love you just the way you are My cinema My cinema Never know what movie you're playin' Never know what movie you're playin' Never know what movie you're playin' Never know never know never know You are my cinema I could watch you forever Action thriller I could watch you forever You are a cinema A Hollywood treasure Love you just the way you are My cinema My cinema,https://www.youtube.com/watch?v=kxI2g1I9s5Q
Electronic,178791,hear-my-name,2005,armand-van-helden,Electronic,You've been through it all Nothing has to change Take it all the pain in me But what if that's all there is A a a all the way and we would A a a all the way and we would Are you all there is in my heart It does believe that you are just my age Here my mind is empty Oh nobody comes away Here time is ending Here I'm gonna stay Hear my name Doesn't anybody want to play Hear my name Can anybody find a way Say my name now baby Loud and clear Say my name now baby Say it so I can hear your voice All I want to do is get next to you All I want to do is get next to you All I want to do is get next to you Here my mind is empty Oh nobody comes away Here time is ending Here I'm gonna stay Hear my name Doesn't anybody want to play Hear my name Can anybody find a way Here my mind is empty Oh nobody comes away Here time is ending Here I'm gonna stay Hear my name Doesn't anybody want to play Hear my name Can anybody find a way,https://www.youtube.com/watch?v=EPjvnUJdn5U
Electronic,66982,going-nowhere,2004,cut-copy,Electronic,I can't think straight Help me now before it's too late Now what do I care 'Cause we're going nowhere Going nowhere Going nowhere Going nowhere I can go there I can go there I can't think straight Help me now before it's too late Now what do I care 'Cause we're going nowhere Going nowhere Going nowhere Going nowhere Help me Going nowhere Going nowhere Going nowhere I can go there I can go there I can go there ,https://www.youtube.com/watch?v=Ycd8GBosVPk
Electronic,45354,mfn,2014,cibo-matto,Electronic,Don't take it serious mate When civilizations take over They take it up Take it up Take it up the earth Is it motherfuckin nature Don't act you're curious mate When alienations take over They take it up Take it up Take it up our time Sucks hard like a diamond Is the place you really want to live IN as a ghost Is the place you really want to love at most Do you really want to know Don't act you're religious mate When realizations kick over They shake it up Shake it up Shake it up our hearts Is it motherfuckin nature Don't act you're curious mate When alienations take over They take it up Take it up Take it up our time Sucks hard like a diamond Is the place you really want to live IN as a ghost Is the place you really want to love at most Do you really want to know Yo I'm a ghost I'm stuck in this place don't chase me I blazed your joint when you were deep in sleep Cuz a room service was dead slow it got no flow You ate an oyster lobster fresh bread and butter you hallucinated liberated fascinated vibrated tolerated the chocolate melt Gimme more bass get me outta this place Don't tell me what the hell Imma ghost Don't throw the fuckin oyster shell at me Don't tell me what the hell Imma ghost Don't throw the fuckin oyster shell at me,https://www.youtube.com/watch?v=_3zX_AT0Xco
Electronic,27225,never-alone,1994,2-brothers-on-the-4th-floor,Electronic,Black and white dancin together Side by side we'll make things better You're never alone Dancin together Side by side through stormy weather You're never alone Never alone I'm always on course with the force off course Breakin down doors and no I won't pause Here's an injection to all the people Don't you stop movin cause we're all equal I'm the 3D2 and I'm here to help Stop the violence and help yourself To a better place for the human brace Turn up the bass time to rave It's universal Let's do it now no time for rehearsal Wave your hands for the master plan And jam with the man here to slam So throw your fist in the air and strive for peace Happiness and unity Can't you see we've got to make it better Black and white together It's time to wake up it's time to rise Let freedom ring for you and I We've got to take care of the world today Hear what I say no time to play Save the ozone before it's gone like a storm My word is born Can't you see we've got to make it better Black and white together,https://www.youtube.com/watch?v=KhQku_7MYI0
Electronic,160790,the-sound-of-violence,2002,cassius,Electronic,Feel like a want to be inside of you When the sun goes down Oh my heart Takin me back to blue I've fallen into my own senses Another night another day It's better this way Let the music play Oh my heart Only you can know how I feel Every day is an ordeal to get by Melancholy Ever so Broken skin Mercury rising Oh my heart There's movement across the tracks Hoping to played it back all right Lucky me lucky you They're givin us a two minute warning Oh my heart Changing the way I kill By changing the way I feel Step forward Everybody around the world understands What makes a child of man yes come Feel like I want to be you more than I Get around come around See you every night hear the crowd the sound of violence Shake it out Ready now Going to let it all out Ready now When the sun goes down We'll be coming out ready or not Feel like a want to be inside of you When the sun goes down As long as I'm gonna be around you When the sun goes down,https://www.youtube.com/watch?v=RfnPCymwl9k
Electronic,212890,these-early-days,1988,everything-but-the-girl,Electronic,You're only two and the whole wild world revolves around you And nothing happened yet that you might ever wish to forget It doesn't stay that way if I could I'd make stay that way And this you will recall in after years Though you may weary of this vale of tears These days remember always remember You're only two and I've no wish to worry you So pay no mind to those who say the world is unkind That's just something they've read And if I could I'd strike them dead And this you will recall in after years Though you may weary of this vale of tears These days remember always remember And honey there's no rush The world will wait for you to grow up And this you will recall in after years Though you may weary of this vale of tears These days remember always remember I hope you never change I'll call you Jimmy they call you James Don't ever change I'll call you Jimmy they call you James ,https://www.youtube.com/watch?v=cl--PBfPXPw
Electronic,59634,lone-digger,2015,caravan-palace,Electronic,Hey brother what you thinking Leave that old record spinning You feel the rhythm going They call it lonely digging Let's end your time to lay low Your knees a bending so It's time to get up and let go You're gonna come undone Hey mama how's it going Can't see your body moving Don't leave the party dying They call it lonely digging Your booty shaking you know Your head has no right to say no Tonight it's ready set go Baby can you move it round the rhythm So we can get with em To the ground and get us a rock and roll round Just a downtown body body coming with a super hottie Let's go yes no hell no Baby can you move it round the rhythm 'Cause you know we're living in the fast lane speed up It ain't no game just turn up all the beams when I come up on the scene Hey brother what you thinking That good ol sound is ringing They don't know what they're missing They call it lonely digging Let's end your time to lay low Your knees a bending so It's time to get up and let go Hey brother nice and steady Put down your drink you ready It's hard when things get messy They call it lonely digging Your booty shaking you know Your head has no right to say no Tonight it's ready set go Baby can you move it round the rhythm So we can get with em To the ground and get us a rock and roll round Just a downtown body body coming with a super hottie Let's go yes no hell no Baby can you move it round the rhythm 'Cause you know we're living in the fast lane speed up It ain't no game just turn up all the beams when I come up on the scene Baby can you move it round the rhythm So we can get with em To the ground and get us a rock and roll round Just a downtown body body coming with a super hottie Let's go yes no hell no Baby can you move it round the rhythm 'Cause you know we're living in the fast lane speed up It ain't no game just turn up all the beams when I come up on the scene,https://www.youtube.com/watch?v=UbQgXeY_zi4
Electronic,15903,black-mambo,2014,glass-animals,Electronic,What'll it be now mister mole Whisper sloth in curls of smoke Take a back seat Or play pharaoh Dance with me And shake your bones Slow down It's a science He's been waiting To bring you down Snake eyed With a sly smile He can hold you And shake you child Leopards laze each On plush pillows Slender capes Of red and chrome Paperback dreams In their deep doze Twitch their toes to Black mambo Slow down It's a science He's been waiting To bring you down Snake eyed With a sly smile He can hold you And shake you child Wanna play cheat Now says the sloth A domino Flush to his nose Tickle that cheek And take your throne Pump your veins With gushing gold Slow down It's a science He's been waiting To bring you down Snake eyed With a sly smile He can hold you And shake you child We can hold you We can hold you We can hold you We can hold you,https://www.youtube.com/watch?v=H7bqZIpC3Pg
Electronic,62824,memories,2009,david-guetta,Electronic,Yeah yeah All the crazy shit I did tonight Those will be the best memories I just wanna let it go for the night That would be the best therapy for me All the crazy shit I did tonight Those will be the best memories I just wanna let it go for the night That would be the best therapy for me Hey hey yeah yeah Hey hey yeah yeah Hey hey yeah yeah Hey hey yeah yeah Yeah All the crazy shit I did tonight Those will be the best memories I just wanna let it go for the night That would be the best therapy for me All the crazy shit I did tonight Those will be the best memories I just wanna let it go for the night That would be the best therapy for me Hey hey yeah yeah Hey hey yeah yeah Hey hey yeah yeah Hey hey yeah yeah It's gettin late but I don't mind It's gettin late but I don't mind It's gettin late but I don't mind It's gettin late but I don't mind It's gettin late but I don't mind It's gettin late but I don't mind It's gettin late but I don't mind It's gettin late but I don't mind Hey hey yeah yeah Hey hey yeah yeah Hey hey yeah yeah Hey hey yeah yeah ,https://www.youtube.com/watch?v=NUVCQXMUVnI
Electronic,169739,you-used-to-hold-me,2009,calvin-harris,Electronic,Knocked down everything I tried to do That sounds something like me holding you I've known this can make you understand Take my spirit from my open hand You used to hold me You used to hold me You used to hold me me me me yeah You used to hold me me me me yeah You used to hold me me me me yeah You used to hold me me me me yeah You know better than I do Knocked down everything I tried to do That sounds something like me holding you I've known this can make you understand Take my spirit from my open hand You used to hold me You used to hold me You used to hold me me me me yeah You used to hold me me me me yeah You used to hold me me me me yeah You used to hold me me me me yeah You know better than I do You used to hold me You used to hold me You used to hold me me me me yeah You used to hold me me me me yeah You used to hold me me me me yeah You used to hold me me me me yeah,https://www.youtube.com/watch?v=mf58RAPR8Ws
Folk,94621,in-your-hands,2009,charlie-winston,Folk,"Mother I've gotta get out of here So I can save our family From this poverty And when I make my money I'll send it back to you Father Give me strength I pray I have to end this misery It's causing too much pain I'm gonna look for richer lands Where the money's made I'm gonna put my whole World In your hands I have to put my whole World In your hands In your hands Mister Please let me work somehow You've kept me waiting 18 months And still I'm not allowed And every time you promise me ""Not much longer now"" I've had to put my whole world In your hands I'm gonna put my whole world In your hands In your hands Hey hey oho Listen listen to me Mister Mister You say you're trying But don't you know my brother's dying You say ""it won't be long"" But why am I so cursed For where I am born I know You've got my whole world In your hands I've had to put my whole world In your hands I'm gonna put my whole world In your hands I've had to put my whole world In your hands In your hands",https://www.youtube.com/watch?v=UfQbvn2ACzc
Folk,191215,utmost-good,2015,all-we-are,Folk,Have you ever been hurt by someone Not just me I could never ever hurt you more Have you ever been worn by someone Not just me I could never ever wear you more Oh Oh Oh Oh I've been doing you favors Giving you my utmost good But its just not good enough I keep trying to please you Giving you my utmost good But its just not good enough Oh Just not good enough Have you ever been torn by someone Not just me I could never ever cut you more Have you ever been lost to someone Not just me i could never ever go this far I've been doing you favors Giving you my utmost good But its just not good enough I keep trying to please you Giving you my utmost good But its just not good enough Cant you see we're only dancin only dancin' But its just not good enough I've been doing you favors Giving you my utmost good But its just not good enough I keep trying to please you Giving you my utmost good But its just not good enough oh oh oh oh Just not good enough,https://www.youtube.com/watch?v=g1xx4oT9hms
